low_group,high_group,low_dimension,high_dimension,low_members,high_members,low_omega_hat,high_omega_hat,frequency_rel_error,overlap,minimum_overlap,fingerprint_similarity,low_dominant_m,high_dominant_m,low_ppw,high_ppw,low_wavelength_status,high_wavelength_status,low_circularity_eigs,high_circularity_eigs,circularity_error,low_condition_number_max,high_condition_number_max,low_class,high_class,low_core_status,high_core_status,equilibrium_ready,score,numerically_trackable,physical_interpretation_allowed
182,204,2,2,414;460,496;536,-0.07994980388580059,-0.08028451024534244,0.004169002943644137,0.9999993879184491,0.9999993879184491,0.9999998696240396,6,6,42.666666666666664,53.333333333333336,RESOLVED,RESOLVED,0.996935129676;0.996935129676,0.996975546133;0.996975546133,4.0416457902647807e-05,10.420144017034904,1.0056836753398255,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9993742497155328,True,True
183,205,2,2,415;461,497;537,0.07994980388580059,0.08028451024534244,0.004169002943644137,0.9999993879184491,0.9999993879184491,0.9999998696240396,6,6,42.666666666666664,53.333333333333336,RESOLVED,RESOLVED,-0.996935129676;-0.996935129676,-0.996975546133;-0.996975546133,4.0416457902647807e-05,10.420144017034904,1.0056836753398255,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9993742497155328,True,True
202,208,2,2,450;458,502;538,-0.09226657715731593,-0.09281639919786905,0.005923759651362766,0.9999989429740347,0.9999989429740347,0.9999998227996683,7,7,36.57142857142857,45.714285714285715,RESOLVED,RESOLVED,0.997613029321;0.997613029321,0.997654754066;0.997654754066,4.172474491770384e-05,1.0672189037992668,14.664572799228756,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9991107575366335,True,True
203,209,2,2,451;459,503;539,0.09226657715731593,0.09281639919786905,0.005923759651362766,0.9999989429740347,0.9999989429740347,0.9999998227996683,7,7,36.57142857142857,45.714285714285715,RESOLVED,RESOLVED,-0.997613029321;-0.997613029321,-0.997654754066;-0.997654754066,4.172474491770384e-05,1.0672189037992668,14.664572799228756,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9991107575366335,True,True
194,235,2,2,434;442,594;596,-0.10230629625190965,-0.10314726832745105,0.008153120186098022,0.9999982764697002,0.9999982764697002,0.9999997518646633,8,8,32.0,40.0,RESOLVED,RESOLVED,0.997997021508;0.997997021508,0.998042326153;0.998042326153,4.5304645072352656e-05,7.965022156103549,12.09862070199364,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9987759358200712,True,True
195,236,2,2,435;443,595;597,0.10230629625190965,0.10314726832745105,0.008153120186098022,0.9999982764697002,0.9999982764697002,0.9999997518646633,8,8,32.0,40.0,RESOLVED,RESOLVED,-0.997997021508;-0.997997021508,-0.998042326153;-0.998042326153,4.5304645072352656e-05,7.965022156103549,12.09862070199364,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9987759358200712,True,True
192,231,2,2,430;432,586;588,-0.10981651688658563,-0.1110335914165803,0.010961318232321226,0.9999973197336176,0.9999973197336175,0.9999996416741952,9,9,28.444444444444443,35.55555555555556,RESOLVED,RESOLVED,0.998213964925;0.998213964925,0.998265389591;0.998265389591,5.1424665844623796e-05,2.530677346221501,7.078531031544207,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9983541045238712,True,True
193,232,2,2,431;433,587;589,0.10981651688658563,0.1110335914165803,0.010961318232321226,0.9999973197336176,0.9999973197336175,0.9999996416741952,9,9,28.444444444444443,35.55555555555556,RESOLVED,RESOLVED,-0.998213964925;-0.998213964925,-0.998265389591;-0.998265389591,5.1424665844623796e-05,2.530677346221501,7.078531031544207,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9983541045238712,True,True
198,218,2,2,438;440,528;530,-0.11463246017952593,-0.11631796645422054,0.014490506721143404,0.9999959916580399,0.9999959916580399,0.9999994648173589,10,10,25.6,32.0,RESOLVED,RESOLVED,0.99832156792;0.99832156792,0.998382437192;0.998382437192,6.086927188841962e-05,3.3404841551392157,3.159988072804086,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9978238851909922,True,True
199,219,2,2,439;441,529;531,0.11463246017952593,0.11631796645422054,0.014490506721143404,0.9999959916580399,0.9999959916580399,0.9999994648173589,10,10,25.6,32.0,RESOLVED,RESOLVED,-0.99832156792;-0.99832156792,-0.998382437192;-0.998382437192,6.086927188841962e-05,3.3404841551392157,3.159988072804086,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9978238851909922,True,True
184,202,2,2,416;418,492;494,-0.11665767474214084,-0.11890974989916951,0.018939365013704457,0.9999941952988363,0.9999941952988357,0.9999991693742094,11,11,23.272727272727273,29.09090909090909,RESOLVED,RESOLVED,0.998345086224;0.998345086224,0.998420228665;0.998420228665,7.514244080819577e-05,3.4060415735529714,1.0898416750200015,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9971554047707983,True,True
185,203,2,2,417;419,493;495,0.11665767474214084,0.11890974989916951,0.018939365013704457,0.9999941952988363,0.9999941952988357,0.9999991693742094,11,11,23.272727272727273,29.09090909090909,RESOLVED,RESOLVED,-0.998345086224;-0.998345086224,-0.998420228665;-0.998420228665,7.514244080819577e-05,3.4060415735529714,1.0898416750200015,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9971554047707983,True,True
188,200,2,2,422;424,488;490,-0.11584948347639357,-0.11877053549208776,0.024594079698232785,0.9999918104855468,0.9999918104855465,0.9999986512130491,12,12,21.333333333333332,26.666666666666668,RESOLVED,RESOLVED,0.998290548632;0.998290548632,0.998387541758;0.998387541758,9.699312547151173e-05,1.4852823051244919,6.458132074459468,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9963056371398553,True,True
189,201,2,2,423;425,489;491,0.11584948347639357,0.11877053549208776,0.024594079698232785,0.9999918104855468,0.9999918104855465,0.9999986512130491,12,12,21.333333333333332,26.666666666666668,RESOLVED,RESOLVED,-0.998290548632;-0.998290548632,-0.998387541758;-0.998387541758,9.699312547151173e-05,1.4852823051244919,6.458132074459468,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9963056371398553,True,True
186,206,2,2,420;428,498;500,-0.11220771193501405,-0.1159029697176045,0.03188233909445011,0.9999886761984649,0.9999886761984648,0.9999976862448089,13,13,19.692307692307693,24.615384615384617,RESOLVED,RESOLVED,0.998147643661;0.998147643661,0.998279239959;0.998279239959,0.00013159629812731222,6.5855617215676885,3.7287636802676065,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9952102764161136,True,True
187,207,2,2,421;429,499;501,0.11220771193501405,0.1159029697176045,0.03188233909445011,0.9999886761984649,0.9999886761984648,0.9999976862448089,13,13,19.692307692307693,24.615384615384617,RESOLVED,RESOLVED,-0.998147643661;-0.998147643661,-0.998279239959;-0.998279239959,0.00013159629812731222,6.5855617215676885,3.7287636802676065,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9952102764161136,True,True
196,210,2,2,436;444,504;506,-0.10576568317082626,-0.11034190132082926,0.041473076820538274,0.9999845438600617,0.9999845438600616,0.9999957478883317,14,14,18.285714285714285,22.857142857142858,RESOLVED,RESOLVED,0.997884712822;0.997884712822,0.998074045168;0.998074045168,0.00018933234549645128,1.8964561524194625,2.2420961459470625,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9937687017650392,True,True
197,211,2,2,437;445,505;507,0.10576568317082626,0.11034190132082926,0.041473076820538274,0.9999845438600617,0.9999845438600616,0.9999957478883317,14,14,18.285714285714285,22.857142857142858,RESOLVED,RESOLVED,-0.997884712822;-0.997884712822,-0.998074045168;-0.998074045168,0.00018933234549645128,1.8964561524194625,2.2420961459470625,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9937687017650392,True,True
200,237,2,2,446;448,598;600,-0.09658269303405284,-0.10214713250712881,0.05447474967236738,0.9999789367787513,0.9999789367787512,0.9999914508175477,15,15,17.066666666666666,21.333333333333332,RESOLVED,RESOLVED,0.997431079078;0.997431079078,0.997724079545;0.997724079545,0.0002930004676493514,3.8469853399111202,2.5154650434260306,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9918140123207826,True,True
201,238,2,2,447;449,599;601,0.09658269303405284,0.10214713250712881,0.05447474967236738,0.9999789367787513,0.9999789367787512,0.9999914508175477,15,15,17.066666666666666,21.333333333333332,RESOLVED,RESOLVED,-0.997431079078;-0.997431079078,-0.997724079545;-0.997724079545,0.0002930004676493514,3.8469853399111202,2.5154650434260306,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9918140123207826,True,True
0,36,2,2,0;84,68;70,-1.0316425412772472,-0.9693359566743909,0.06039551696435116,0.9971571386415038,0.9971571386415032,0.9999999086614692,50,50,5.12,6.4,UNDERRESOLVED,UNDERRESOLVED,-0.999975619119;-0.999975619119,-0.9999723343;-0.9999723343,3.2848191477974353e-06,10.435775327239517,156.46386403462313,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9892349328056169,True,False
1,37,2,2,1;85,69;71,1.0316425412772472,0.9693359566743909,0.06039551696435116,0.9971571386415038,0.9971571386415032,0.9999999086614692,50,50,5.12,6.4,UNDERRESOLVED,UNDERRESOLVED,0.999975619119;0.999975619119,0.9999723343;0.9999723343,3.2848191477974353e-06,10.435775327239517,156.46386403462313,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9892349328056169,True,False
22,32,2,2,40;48,60;62,-1.0651500781533942,-1.001899297914413,0.05938203595556828,0.996891428295563,0.996891428295562,0.9999999170367287,51,51,5.019607843137255,6.2745098039215685,UNDERRESOLVED,UNDERRESOLVED,-0.999977162314;-0.999977162314,-0.999974134375;-0.999974134375,3.02793925244238e-06,1.0001988155211352,35.696458343923396,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9892275308431847,True,False
23,33,2,2,41;49,61;63,1.0651500781533942,1.001899297914413,0.05938203595556828,0.996891428295563,0.996891428295562,0.9999999170367287,51,51,5.019607843137255,6.2745098039215685,UNDERRESOLVED,UNDERRESOLVED,0.999977162314;0.999977162314,0.999974134375;0.999974134375,3.02793925244238e-06,1.0001988155211352,35.696458343923396,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9892275308431847,True,False
36,40,2,2,68;70,74;76,-0.9975104092031758,-0.9362275619287668,0.06143579726988765,0.9974038149354236,0.9974038149354232,0.9999998990815956,49,49,5.224489795918367,6.530612244897959,UNDERRESOLVED,UNDERRESOLVED,-0.999973884443;-0.999973884443,-0.999970308528;-0.999970308528,3.5759156089554267e-06,1.006922097858793,20.051130169124395,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9892268941411699,True,False
37,41,2,2,69;71,75;77,0.9975104092031758,0.9362275619287668,0.06143579726988765,0.9974038149354236,0.9974038149354232,0.9999998990815956,49,49,5.224489795918367,6.530612244897959,UNDERRESOLVED,UNDERRESOLVED,0.999973884443;0.999973884443,0.999970308528;0.999970308528,3.5759156089554267e-06,1.006922097858793,20.051130169124395,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9892268941411699,True,False
18,24,2,2,32;34,44;58,-1.0980097435683445,-1.033894856669944,0.058391910703850504,0.9966054904851099,0.9966054904851094,0.9999999243978203,52,52,4.923076923076923,6.153846153846154,UNDERRESOLVED,UNDERRESOLVED,-0.999978540379;-0.999978540379,-0.999975740209;-0.999975740209,2.8001697758295307e-06,1.0410813062880766,1.0005908744240688,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9892044887849435,True,False
19,25,2,2,33;35,45;59,1.0980097435683445,1.033894856669944,0.058391910703850504,0.9966054904851099,0.9966054904851094,0.9999999243978203,52,52,4.923076923076923,6.153846153846154,UNDERRESOLVED,UNDERRESOLVED,0.999978540379;0.999978540379,0.999975740209;0.999975740209,2.8001697758295307e-06,1.0410813062880766,1.0005908744240688,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9892044887849435,True,False
2,42,2,2,2;118,78;80,-0.9627801864475267,-0.9025997639698653,0.06250691832339797,0.9976325905980634,0.997632590598063,0.9999998880611026,48,48,5.333333333333333,6.666666666666667,UNDERRESOLVED,UNDERRESOLVED,-0.999971926586;-0.999971926586,-0.999968019113;-0.999968019113,3.9074737219202405e-06,248.76291384177364,21.8040818499446,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.989203488625604,True,False
3,43,2,2,3;119,79;81,0.9627801864475267,0.9025997639698653,0.06250691832339797,0.9976325905980634,0.997632590598063,0.9999998880611026,48,48,5.333333333333333,6.666666666666667,UNDERRESOLVED,UNDERRESOLVED,0.999971926586;0.999971926586,0.999968019113;0.999968019113,3.9074737219202405e-06,248.76291384177364,21.8040818499446,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.989203488625604,True,False
14,26,2,2,24;26,46;50,-1.1302013231706305,-1.0653026738799116,0.05742220254056526,0.9962980690648092,0.9962980690648083,0.9999999308996209,53,53,4.830188679245283,6.037735849056604,UNDERRESOLVED,UNDERRESOLVED,-0.999979775353;-0.999979775353,-0.999977178046;-0.999977178046,2.5973064580187e-06,34.50573804983449,92.59036309846609,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9891654937827059,True,False
15,27,2,2,25;27,47;51,1.1302013231706305,1.0653026738799116,0.05742220254056526,0.9962980690648092,0.9962980690648083,0.9999999308996209,53,53,4.830188679245283,6.037735849056604,UNDERRESOLVED,UNDERRESOLVED,0.999979775353;0.999979775353,0.999977178046;0.999977178046,2.5973064580187e-06,34.50573804983449,92.59036309846609,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9891654937827059,True,False
46,44,2,2,88;90,82;84,-0.9274817736616903,-0.8684812879437491,0.06361363359735657,0.9978445417083321,0.9978445417083316,0.9999998753050828,47,47,5.446808510638298,6.808510638297872,UNDERRESOLVED,UNDERRESOLVED,-0.999969707172;-0.999969707172,-0.999965419983;-0.999965419983,4.2871891138274165e-06,1.0673825505324317,1.0178740673606628,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9891646488116664,True,False
47,45,2,2,89;91,83;85,0.9274817736616903,0.8684812879437491,0.06361363359735657,0.9978445417083321,0.9978445417083316,0.9999998753050828,47,47,5.446808510638298,6.808510638297872,UNDERRESOLVED,UNDERRESOLVED,0.999969707172;0.999969707172,0.999965419983;0.999965419983,4.2871891138274165e-06,1.0673825505324317,1.0178740673606628,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9891646488116664,True,False
44,62,2,2,86;120,110;112,-0.8916486362799749,-0.8339040889126771,0.0647615495810238,0.9980406895610717,0.9980406895610713,0.9999998604417116,46,46,5.565217391304348,6.956521739130435,UNDERRESOLVED,UNDERRESOLVED,-0.999967179422;-0.999967179422,-0.9999624548;-0.9999624548,4.7246216308138855e-06,40.77921255965067,1.7619981302960672,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9891101464099172,True,False
45,63,2,2,87;121,111;113,0.8916486362799749,0.8339040889126771,0.0647615495810238,0.9980406895610717,0.9980406895610713,0.9999998604417116,46,46,5.565217391304348,6.956521739130435,UNDERRESOLVED,UNDERRESOLVED,0.999967179422;0.999967179422,0.9999624548;0.9999624548,4.7246216308138855e-06,40.77921255965067,1.7619981302960672,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9891101464099172,True,False
10,20,2,2,10;18,36;38,-1.1617075003866133,-1.0961054116772795,0.05647040127355767,0.9959678423256957,0.9959678423256948,0.9999999366689996,54,54,4.7407407407407405,5.925925925925926,UNDERRESOLVED,UNDERRESOLVED,-0.999980885769;-0.999980885769,-0.999978469904;-0.999978469904,2.4158648666006144e-06,98.87689512671692,1.006578424740964,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9891101293716337,True,False
11,21,2,2,11;19,37;39,1.1617075003866133,1.0961054116772795,0.05647040127355767,0.9959678423256957,0.9959678423256948,0.9999999366689996,54,54,4.7407407407407405,5.925925925925926,UNDERRESOLVED,UNDERRESOLVED,0.999980885769;0.999980885769,0.999978469904;0.999978469904,2.4158648666006144e-06,98.87689512671692,1.006578424740964,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9891101293716337,True,False
190,224,2,2,426;456,544;546,-0.08473710761272243,-0.09139709556702799,0.07286870455769905,0.9999706526021308,0.9999706526021305,0.9999805578916399,16,16,16.0,20.0,RESOLVED,RESOLVED,0.996626667571;0.996626667571,0.997125963654;0.997125963654,0.0004992960823488879,8.087553187312261,1.0145627408690128,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9890472253505336,True,True
191,225,2,2,427;457,545;547,0.08473710761272243,0.09139709556702799,0.07286870455769905,0.9999706526021308,0.9999706526021305,0.9999805578916399,16,16,16.0,20.0,RESOLVED,RESOLVED,-0.996626667571;-0.996626667571,-0.997125963654;-0.997125963654,0.0004992960823488879,8.087553187312261,1.0145627408690128,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9890472253505336,True,True
62,66,2,2,146;148,122;146,-0.8553179730390521,-0.7989035077088387,0.06595730138788708,0.9982220031319837,0.9982220031319832,0.9999998429976381,45,45,5.688888888888889,7.111111111111111,UNDERRESOLVED,UNDERRESOLVED,-0.999964285898;-0.999964285898,-0.999959054148;-0.999959054148,5.231750496048626e-06,4.326771389320483,1.0004344606092734,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9890395674204167,True,False
63,67,2,2,147;149,123;147,0.8553179730390521,0.7989035077088387,0.06595730138788708,0.9982220031319837,0.9982220031319832,0.9999998429976381,45,45,5.688888888888889,7.111111111111111,UNDERRESOLVED,UNDERRESOLVED,0.999964285898;0.999964285898,0.999959054148;0.999959054148,5.231750496048626e-06,4.326771389320483,1.0004344606092734,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9890395674204167,True,False
6,18,2,2,6;14,32;34,-1.192513695064957,-1.126288207779579,0.05553436204501659,0.9956134200767517,0.9956134200767507,0.9999999418105856,55,55,4.654545454545454,5.818181818181818,UNDERRESOLVED,UNDERRESOLVED,-0.999981887296;-0.999981887296,-0.999979634357;-0.999979634357,2.2529393686188115e-06,15.991249058581268,328.6935102959555,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9890378831919449,True,False
7,19,2,2,7;15,33;35,1.192513695064957,1.126288207779579,0.05553436204501659,0.9956134200767517,0.9956134200767507,0.9999999418105856,55,55,4.654545454545454,5.818181818181818,UNDERRESOLVED,UNDERRESOLVED,0.999981887296;0.999981887296,0.999979634357;0.999979634357,2.2529393686188115e-06,15.991249058581268,328.6935102959555,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9890378831919449,True,False
68,76,2,2,162;164,144;162,-0.8185308833388001,-0.7635184267252066,0.06720877334425902,0.9983894014492718,0.9983894014492714,0.9999998223639353,44,44,5.818181818181818,7.2727272727272725,UNDERRESOLVED,UNDERRESOLVED,-0.999960955515;-0.999960955515,-0.999955131787;-0.999955131787,5.823728037812614e-06,3.2817233341174714,1.0005083174799867,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.988952280458908,True,False
69,77,2,2,163;165,145;163,0.8185308833388001,0.7635184267252066,0.06720877334425902,0.9983894014492718,0.9983894014492714,0.9999998223639353,44,44,5.818181818181818,7.2727272727272725,UNDERRESOLVED,UNDERRESOLVED,0.999960955515;0.999960955515,0.999955131787;0.999955131787,5.823728037812614e-06,3.2817233341174714,1.0005083174799867,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.988952280458908,True,False
4,12,2,2,4;12,20;22,-1.222607905384703,-1.1558385333618888,0.05461225281526767,0.9952333406416176,0.9952333406416164,0.9999999464112206,56,56,4.571428571428571,5.714285714285714,UNDERRESOLVED,UNDERRESOLVED,-0.999982793249;-0.999982793249,-0.999980687156;-0.999980687156,2.1060929746852253e-06,189.35165262433145,1.6085368667020263,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9889481530654856,True,False
5,13,2,2,5;13,21;23,1.222607905384703,1.1558385333618888,0.05461225281526767,0.9952333406416176,0.9952333406416164,0.9999999464112206,56,56,4.571428571428571,5.714285714285714,UNDERRESOLVED,UNDERRESOLVED,0.999982793249;0.999982793249,0.999980687156;0.999980687156,2.1060929746852253e-06,189.35165262433145,1.6085368667020263,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9889481530654856,True,False
74,88,2,2,172;182,166;170,-0.7813325322624498,-0.7277914246489142,0.06852537863552197,0.9985437558714614,0.9985437558714608,0.9999997977483377,43,43,5.953488372093023,7.441860465116279,UNDERRESOLVED,UNDERRESOLVED,-0.999957099544;-0.999957099544,-0.999950579629;-0.999950579629,6.519915884073413e-06,1.0004759132763956,15.20801134626049,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.988847396164633,True,False
75,89,2,2,173;183,167;171,0.7813325322624498,0.7277914246489142,0.06852537863552197,0.9985437558714614,0.9985437558714608,0.9999997977483377,43,43,5.953488372093023,7.441860465116279,UNDERRESOLVED,UNDERRESOLVED,0.999957099544;0.999957099544,0.999950579629;0.999950579629,6.519915884073413e-06,1.0004759132763956,15.20801134626049,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.988847396164633,True,False
8,10,2,2,8;20,12;14,-1.2519805534354254,-1.1847460547143052,0.05370251042368775,0.9948260677740494,0.9948260677740478,0.9999999505434125,57,57,4.491228070175438,5.614035087719298,UNDERRESOLVED,UNDERRESOLVED,-0.999983614994;-0.999983614994,-0.999981641724;-0.999981641724,1.973270630228896e-06,18.34551332188098,2.211424868979557,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9888402517367294,True,False
9,11,2,2,9;21,13;15,1.2519805534354254,1.1847460547143052,0.05370251042368775,0.9948260677740494,0.9948260677740478,0.9999999505434125,57,57,4.491228070175438,5.614035087719298,UNDERRESOLVED,UNDERRESOLVED,0.999983614994;0.999983614994,0.999981641724;0.999981641724,1.973270630228896e-06,18.34551332188098,2.211424868979557,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9888402517367294,True,False
80,90,2,2,186;188,172;174,-0.7437723119016753,-0.6917689289816853,0.06991841735413325,0.9986858922705734,0.9986858922705732,0.9999997681072448,42,42,6.095238095238095,7.619047619047619,UNDERRESOLVED,UNDERRESOLVED,-0.999952606216;-0.999952606216,-0.999945260887;-0.999945260887,7.345329004371237e-06,12.01256151897991,3.998588575479689,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9887237147860352,True,False
81,91,2,2,187;189,173;175,0.7437723119016753,0.6917689289816853,0.06991841735413325,0.9986858922705734,0.9986858922705732,0.9999997681072448,42,42,6.095238095238095,7.619047619047619,UNDERRESOLVED,UNDERRESOLVED,0.999952606216;0.999952606216,0.999945260887;0.999945260887,7.345329004371237e-06,12.01256151897991,3.998588575479689,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9887237147860352,True,False
12,6,2,2,16;22,6;18,-1.280624334809261,-1.2130024989274921,0.0528038036164919,0.9943899874966469,0.9943899874966455,0.9999999542680436,58,58,4.413793103448276,5.517241379310345,UNDERRESOLVED,UNDERRESOLVED,-0.999984362277;-0.999984362277,-0.999982509546;-0.999982509546,1.8527304772586461e-06,49.568817272817135,133.20795702678708,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9887134105225251,True,False
